Id,Snow Depth [cm]
0,-0.002808125161834889
1,-0.002808125161834889
2,-0.002808125161834889
3,-0.002808125161834889
4,-0.002808125161834889
5,-0.002808125161834889
6,-0.002808125161834889
7,-0.002808125161834889
8,-0.002808125161834889
9,-0.002808125161834889
10,-0.002808125161834889
11,-0.002808125161834889
12,-0.002808125161834889
13,-0.002808125161834889
14,-0.002808125161834889
15,-0.002808125161834889
16,-0.002808125161834889
17,-0.002808125161834889
18,-0.002808125161834889
19,-0.002808125161834889
20,-0.002808125161834889
21,-0.002808125161834889
22,-0.002808125161834889
23,-0.002808125161834889
24,-0.002808125161834889
25,-0.002808125161834889
26,-0.002808125161834889
27,-0.002808125161834889
28,-0.002808125161834889
29,-0.002808125161834889
30,-0.002808125161834889
31,-0.002808125161834889
32,-0.002808125161834889
33,-0.002808125161834889
34,-0.002808125161834889
35,-0.002808125161834889
36,-0.002808125161834889
37,-0.002808125161834889
38,-0.002808125161834889
39,-0.002808125161834889
40,-0.002808125161834889
41,-0.002808125161834889
42,-0.002808125161834889
43,-0.002808125161834889
44,-0.002808125161834889
45,-0.002808125161834889
46,-0.002808125161834889
47,-0.002808125161834889
48,-0.002808125161834889
49,-0.002808125161834889
50,-0.002808125161834889
51,-0.002808125161834889
52,-0.002808125161834889
53,-0.002808125161834889
54,-0.002808125161834889
55,-0.002808125161834889
56,-0.002808125161834889
57,-0.002808125161834889
58,-0.002808125161834889
59,-0.002808125161834889
60,-0.002808125161834889
61,-0.002808125161834889
62,-0.002808125161834889
63,-0.002808125161834889
64,-0.002808125161834889
65,-0.002808125161834889
66,-0.002808125161834889
67,-0.002808125161834889
68,-0.002808125161834889
69,-0.002808125161834889
70,-0.002808125161834889
71,-0.002808125161834889
72,-0.002808125161834889
73,-0.002808125161834889
74,-0.002808125161834889
75,-0.002808125161834889
76,-0.002808125161834889
77,-0.002808125161834889
78,-0.002808125161834889
79,-0.002808125161834889
80,-0.002808125161834889
81,-0.002808125161834889
82,-0.002808125161834889
83,-0.002808125161834889
84,-0.002808125161834889
85,-0.002808125161834889
86,-0.002808125161834889
87,-0.002808125161834889
88,-0.002808125161834889
89,-0.002808125161834889
90,-0.002808125161834889
91,-0.002808125161834889
92,-0.002808125161834889
93,-0.002808125161834889
94,-0.002808125161834889
95,-0.002808125161834889
96,-0.002808125161834889
97,-0.002808125161834889
98,-0.002808125161834889
99,-0.002808125161834889
100,-0.002808125161834889
101,-0.002808125161834889
102,-0.002808125161834889
103,-0.002808125161834889
104,-0.002808125161834889
105,-0.002808125161834889
106,-0.002808125161834889
107,-0.002808125161834889
108,-0.002808125161834889
109,-0.002808125161834889
